time,current,volume,high,low,money,position,a1_p,b1_p,a1_v,b1_v,a2_p,a2_v,a3_p,a3_v,a4_p,a4_v,a5_p,a5_v,b2_p,b2_v,b3_p,b3_v,b4_p,b4_v,b5_p,b5_v,contract_code
2.01502E+13,0.182,51,0.182,0.182,92820,51,0.183,0.182,10,13,0.1839,10,0.1848,10,0.1852,10,0.1861,5,0.1818,7,0.1817,32,0.1812,7,0.1811,5,10000001.XSHG
2.01502E+13,0.183,61,0.183,0.182,111120,61,0.1836,0.1821,1,1,0.1852,10,0.1855,5,0.1861,5,0.1863,5,0.182,14,0.1818,7,0.1817,32,0.1812,7,10000001.XSHG
2.01502E+13,0.1836,67,0.1836,0.182,122106,66,0.1852,0.1836,10,4,0.1863,5,0.1877,10,0.1884,10,0.1895,5,0.183,11,0.1821,1,0.182,14,0.1818,2,10000001.XSHG
2.01502E+13,0.1836,71,0.1836,0.182,129450,70,0.1836,0.183,6,11,0.1852,10,0.1863,5,0.1877,10,0.1884,10,0.1821,1,0.182,14,0.1818,2,0.1817,22,10000001.XSHG
2.01502E+13,0.183,72,0.1836,0.182,131280,71,0.1845,0.183,5,11,0.1852,10,0.1853,10,0.1906,5,0.191,10,0.1821,1,0.182,14,0.1818,2,0.1817,22,10000001.XSHG
2.01502E+13,0.1845,73,0.1845,0.182,133125,72,0.1845,0.183,4,11,0.1852,10,0.1853,10,0.1863,10,0.1873,10,0.1821,1,0.182,14,0.1818,2,0.1817,22,10000001.XSHG
2.01502E+13,0.1851,75,0.1851,0.182,136827,74,0.1848,0.183,5,11,0.1852,10,0.1853,10,0.187,10,0.1879,10,0.1821,1,0.182,14,0.1818,2,0.1817,12,10000001.XSHG
2.01502E+13,0.1852,85,0.1852,0.182,155327,84,0.1849,0.183,5,11,0.1852,5,0.1853,10,0.1871,10,0.188,10,0.1821,1,0.182,14,0.1818,2,0.1817,12,10000001.XSHG
2.01502E+13,0.1849,86,0.1852,0.182,157176,85,0.1852,0.183,5,11,0.1853,10,0.1867,10,0.1877,10,0.1886,10,0.1821,1,0.182,14,0.1818,2,0.1817,12,10000001.XSHG
2.01502E+13,0.1852,87,0.1852,0.182,159028,86,0.1852,0.183,9,11,0.1853,10,0.1871,10,0.188,10,0.1889,10,0.1821,1,0.182,14,0.1818,2,0.1817,12,10000001.XSHG
2.01502E+13,0.1853,97,0.1853,0.182,177549,96,0.1849,0.183,5,11,0.1853,9,0.1872,10,0.1881,10,0.189,10,0.1822,1,0.1821,1,0.182,14,0.1818,2,10000001.XSHG
2.01502E+13,0.1849,102,0.1853,0.182,186794,101,0.1853,0.1849,9,5,0.1867,10,0.1877,10,0.1886,10,0.191,10,0.183,11,0.1822,1,0.1821,1,0.182,14,10000001.XSHG
2.01502E+13,0.1853,107,0.1853,0.182,196059,106,0.1853,0.1849,4,5,0.1872,10,0.1881,10,0.1885,1,0.189,10,0.183,11,0.1822,1,0.1821,1,0.182,14,10000001.XSHG
2.01502E+13,0.1853,111,0.1853,0.182,203471,110,0.1872,0.1853,10,2,0.1881,10,0.1885,1,0.189,10,0.191,10,0.1849,5,0.183,11,0.1822,1,0.1821,1,10000001.XSHG
