time,current,volume,high,low,money,position,a1_p,b1_p,a1_v,b1_v,contract_code
2.02209E+13,0.9315,15,0.9343,0.9315,140005,15,0.9638,0.9315,30,5,10004497.XSHG
2.02209E+13,0.9315,17,0.9343,0.9315,158635,17,0.9637,0.9315,10,3,10004497.XSHG
2.02209E+13,0.9315,20,0.9343,0.9315,186580,20,0.9637,0.924,10,1,10004497.XSHG
2.02209E+13,0.924,21,0.9343,0.924,195820,21,0.9301,0.9093,10,30,10004497.XSHG
2.02209E+13,0.907,26,0.9343,0.907,241170,26,0.9147,0.9055,1,10,10004497.XSHG
2.02209E+13,0.9091,27,0.9343,0.907,250261,27,0.9146,0.9036,10,10,10004497.XSHG
2.02209E+13,0.9167,31,0.9343,0.907,286929,31,0.9234,0.9141,10,10,10004497.XSHG
2.02209E+13,0.9128,32,0.9343,0.907,296057,32,0.9193,0.9111,10,10,10004497.XSHG
2.02209E+13,0.9204,36,0.9343,0.907,332873,36,0.9258,0.9164,10,10,10004497.XSHG
2.02209E+13,0.9161,46,0.9343,0.907,424483,46,0.9258,0.9144,10,10,10004497.XSHG
2.02209E+13,0.9006,56,0.9343,0.9006,514543,56,0.9043,0.8995,10,11,10004497.XSHG
2.02209E+13,0.8926,58,0.9343,0.8926,532395,58,0.8978,0.8919,10,10,10004497.XSHG
2.02209E+13,0.8693,59,0.9343,0.8693,541088,59,0.8693,0.8655,1,10,10004497.XSHG
2.02209E+13,0.8679,62,0.9343,0.8679,567125,62,0.8679,0.8649,1,10,10004497.XSHG
2.02209E+13,0.853,65,0.9343,0.853,592715,65,0.8584,0.8527,10,10,10004497.XSHG
2.02209E+13,0.8572,75,0.9343,0.853,678435,65,0.8572,0.8498,3,10,10004497.XSHG
2.02209E+13,0.8874,76,0.9343,0.853,687309,66,0.8874,0.8846,1,10,10004497.XSHG
2.02209E+13,0.8814,77,0.9343,0.853,696123,67,0.8855,0.8814,10,15,10004497.XSHG
2.02209E+13,0.9085,78,0.9343,0.853,705208,67,0.9085,0.9027,10,12,10004497.XSHG
2.02209E+13,0.905,79,0.9343,0.853,714258,68,0.905,0.9016,1,2,10004497.XSHG
2.02209E+13,0.905,80,0.9343,0.853,723308,69,0.905,0.9,10,15,10004497.XSHG
2.02209E+13,0.909,81,0.9343,0.853,732398,70,0.9116,0.909,10,1,10004497.XSHG
2.02209E+13,0.909,82,0.9343,0.853,741488,71,0.9103,0.9046,10,10,10004497.XSHG
2.02209E+13,0.9038,83,0.9343,0.853,750526,72,0.9068,0.9038,10,4,10004497.XSHG
